source,target,morphism_type,strength
op_bull,bulldozer,operates,0.95
op_ex,excavator,operates,0.95
drivers,truck_1,operates,0.9
drivers,truck_2,operates,0.9
drivers,truck_3,operates,0.9
mech_heavy,bulldozer,maintains,0.85
mech_heavy,excavator,maintains,0.85
mech_trucks,truck_1,maintains,0.8
mech_trucks,truck_2,maintains,0.8
mech_trucks,truck_3,maintains,0.8
bulldozer,excavator,supplies_material,0.6
excavator,truck_1,loads,0.95
excavator,truck_2,loads,0.95
excavator,truck_3,loads,0.95
truck_1,dump,transports,0.9
truck_2,dump,transports,0.9
truck_3,dump,transports,0.9
